"Resample","ctree~Accuracy","ctree~Kappa","earth~Accuracy","earth~Kappa","elnet~Accuracy","elnet~Kappa","gbm~Accuracy","gbm~Kappa","gbm_h20~Accuracy","gbm_h20~Kappa","gbm_h20_rand~Accuracy","gbm_h20_rand~Kappa","gbm_rand~Accuracy","gbm_rand~Kappa","knn~Accuracy","knn~Kappa","multinom~Accuracy","multinom~Kappa","rf~Accuracy","rf~Kappa","rpart~Accuracy","rpart~Kappa","svm~Accuracy","svm~Kappa","svmrad~Accuracy","svmrad~Kappa","xgb_dart~Accuracy","xgb_dart~Kappa","xgb_rand~Accuracy","xgb_rand~Kappa"
"1","Fold01.Rep1",0.719827586206897,0.584022950457906,0.741379310344828,0.618671926364234,0.797413793103448,0.688901569186876,0.797413793103448,0.69572496930461,0.793103448275862,0.691138538344196,0.758620689655172,0.646610814927647,0.741379310344828,0.622866431861284,0.668103448275862,0.495993680171538,0.793103448275862,0.681619349858479,0.762931034482759,0.639130065895529,0.801724137931034,0.705299201944053,0.65948275862069,0.47062561377159,0.702586206896552,0.525463923637873,0.775862068965517,0.663195510762445,0.788793103448276,0.683272038337234
"2","Fold01.Rep2",0.770562770562771,0.665875225151466,0.753246753246753,0.640285214730631,0.744588744588745,0.613996827914354,0.744588744588745,0.622820612165827,0.770562770562771,0.663700041203131,0.753246753246753,0.643248076297822,0.761904761904762,0.659145785265869,0.683982683982684,0.520160487152491,0.748917748917749,0.620356464821059,0.774891774891775,0.665096049293222,0.792207792207792,0.697049180327869,0.70995670995671,0.556596476149549,0.70995670995671,0.545115212790971,0.744588744588745,0.623788886741933,0.761904761904762,0.652060796932767
"3","Fold02.Rep1",0.688311688311688,0.545623429133428,0.757575757575758,0.642217059409227,0.748917748917749,0.625125909345271,0.779220779220779,0.672385984427141,0.753246753246753,0.636200370237339,0.748917748917749,0.628555586359856,0.761904761904762,0.649932493869341,0.696969696969697,0.548475371383894,0.744588744588745,0.617892789054615,0.748917748917749,0.630725979824706,0.753246753246753,0.643257742014143,0.696969696969697,0.542574257425743,0.718614718614719,0.566253574833174,0.744588744588745,0.621437697905672,0.774891774891775,0.668808073010008
"4","Fold02.Rep2",0.757575757575758,0.645734629604272,0.754310344827586,0.643538735241792,0.748917748917749,0.613912742781396,0.727272727272727,0.591838451830038,0.718614718614719,0.580176149867189,0.75,0.63992507358844,0.767241379310345,0.666382616105667,0.692640692640693,0.530528123658222,0.744588744588745,0.608260757092352,0.770562770562771,0.657480975828111,0.744588744588745,0.621395633090727,0.670995670995671,0.495009348482669,0.696969696969697,0.524327822556922,0.727272727272727,0.598515780180976,0.731601731601732,0.604888545574928
"5","Fold03.Rep1",0.753246753246753,0.638358647587135,0.704347826086957,0.571589010326787,0.787878787878788,0.670201917193555,0.753246753246753,0.626362088535755,0.779220779220779,0.671573137074517,0.756521739130435,0.647113619551221,0.747826086956522,0.636314067611778,0.718614718614719,0.574127123691749,0.783549783549784,0.664175849736865,0.796536796536797,0.691281847133758,0.753246753246753,0.636712283412427,0.688311688311688,0.522754662840746,0.67965367965368,0.492217205323194,0.766233766233766,0.649439339010202,0.787878787878788,0.688644990922594
"6","Fold03.Rep2",0.787878787878788,0.689694876223374,0.787878787878788,0.683163051084675,0.792207792207792,0.681726849991389,0.80952380952381,0.717886088597757,0.787878787878788,0.688319198149576,0.813852813852814,0.721569726699369,0.805194805194805,0.708570467352603,0.701298701298701,0.547816959346365,0.800865800865801,0.696538725154215,0.792207792207792,0.691150664326899,0.770562770562771,0.669884326044166,0.688311688311688,0.516581892166836,0.722943722943723,0.565317103290112,0.792207792207792,0.694073501820991,0.796536796536797,0.703668322506687
"7","Fold04.Rep1",0.745689655172414,0.62931267941288,0.817391304347826,0.727126352362928,0.728448275862069,0.582995720399429,0.767241379310345,0.651069518716578,0.78448275862069,0.677768826911859,0.821739130434783,0.734888951363509,0.808695652173913,0.716216595159979,0.642241379310345,0.45946552885695,0.728448275862069,0.583660912664502,0.745689655172414,0.620715453462274,0.814655172413793,0.728352031369132,0.681034482758621,0.503958393527882,0.681034482758621,0.491077251437719,0.75,0.62956641431521,0.758620689655172,0.6439377329533
"8","Fold04.Rep2",0.753246753246753,0.637262734510593,0.692640692640693,0.540588235294118,0.783549783549784,0.666435626407902,0.796536796536797,0.696511432884218,0.796536796536797,0.696977308883865,0.70995670995671,0.575052854122622,0.718614718614719,0.590593047034765,0.714285714285714,0.566123111073167,0.787878787878788,0.673944980555956,0.813852813852814,0.719081421985916,0.796536796536797,0.696943475226797,0.701298701298701,0.532237710931768,0.727272727272727,0.564190099721499,0.774891774891775,0.664544235924933,0.792207792207792,0.693574685643222
"9","Fold05.Rep1",0.735930735930736,0.612756952841596,0.78448275862069,0.686147186147186,0.727272727272727,0.591552062868369,0.74025974025974,0.618350038550501,0.744588744588745,0.628009170806267,0.788793103448276,0.696262056803912,0.788793103448276,0.697715850772463,0.67965367965368,0.517949296410141,0.727272727272727,0.591552062868369,0.757575757575758,0.639163179916318,0.74025974025974,0.620565045992116,0.636363636363636,0.431817516324559,0.640692640692641,0.443890129651652,0.74025974025974,0.618350038550501,0.731601731601732,0.610444716442268
"10","Fold05.Rep2",0.757575757575758,0.644292902906481,0.756521739130435,0.64433644446899,0.748917748917749,0.622804054054054,0.770562770562771,0.657404298186702,0.792207792207792,0.693896143334346,0.765217391304348,0.65304355113557,0.782608695652174,0.683683573550446,0.748917748917749,0.622761572249127,0.753246753246753,0.627619559376679,0.779220779220779,0.674917218543046,0.783549783549784,0.683474924636887,0.658008658008658,0.468083245890171,0.662337662337662,0.464499063809552,0.783549783549784,0.678961558773661,0.766233766233766,0.653807726465364
"11","Fold06.Rep1",0.80952380952381,0.719830200121286,0.737068965517241,0.616643189944739,0.761904761904762,0.634199009558908,0.774891774891775,0.662546353522868,0.796536796536797,0.697904783104705,0.771551724137931,0.668616089475812,0.758620689655172,0.65134315540885,0.70995670995671,0.555692714015043,0.761904761904762,0.634199009558908,0.800865800865801,0.69983898759922,0.813852813852814,0.725493989222053,0.67965367965368,0.503398989018651,0.692640692640693,0.51021322343666,0.796536796536797,0.699110384391542,0.787878787878788,0.685382327598188
"12","Fold06.Rep2",0.711206896551724,0.577436455076798,0.730434782608696,0.60342621947828,0.71551724137931,0.575715592008645,0.706896551724138,0.568820378266098,0.71551724137931,0.587644413325075,0.747826086956522,0.629238465814341,0.760869565217391,0.651630315047367,0.676724137931034,0.510162716063285,0.732758620689655,0.600244566727808,0.728448275862069,0.604652420881796,0.711206896551724,0.584984247343408,0.642241379310345,0.45530663045938,0.655172413793103,0.462075761527983,0.711206896551724,0.584607161945484,0.71551724137931,0.591233081502443
