"var","yhat","yhat_scale","cluster","var_name","yhat_scale_2"
"1",22,0.369827535512602,0,"Cluster_1","age_at_grad",0
"2",23.0666666666667,0.369827535512602,0,"Cluster_1","age_at_grad",0
"3",24.1333333333333,0.369827535512602,0,"Cluster_1","age_at_grad",0
"4",25.2,0.369827535512602,0,"Cluster_1","age_at_grad",0
"5",26.2666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"6",27.3333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"7",28.4,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"8",29.4666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"9",30.5333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"10",31.6,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"11",32.6666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"12",33.7333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"13",34.8,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"14",35.8666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"15",36.9333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"16",38,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"17",39.0666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"18",40.1333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"19",41.2,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"20",42.2666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"21",43.3333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"22",44.4,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"23",45.4666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"24",46.5333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"25",47.6,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"26",48.6666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"27",49.7333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"28",50.8,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"29",51.8666666666667,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"30",52.9333333333333,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"31",54,0.373939529392561,0.00411199387995909,"Cluster_1","age_at_grad",1
"32",22,0.22151075558172,0.0023628478880332,"Cluster_2","age_at_grad",1
"33",23.0666666666667,0.22151075558172,0.0023628478880332,"Cluster_2","age_at_grad",1
"34",24.1333333333333,0.22151075558172,0.0023628478880332,"Cluster_2","age_at_grad",1
"35",25.2,0.22151075558172,0.0023628478880332,"Cluster_2","age_at_grad",1
"36",26.2666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"37",27.3333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"38",28.4,0.219147907693687,0,"Cluster_2","age_at_grad",0
"39",29.4666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"40",30.5333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"41",31.6,0.219147907693687,0,"Cluster_2","age_at_grad",0
"42",32.6666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"43",33.7333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"44",34.8,0.219147907693687,0,"Cluster_2","age_at_grad",0
"45",35.8666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"46",36.9333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"47",38,0.219147907693687,0,"Cluster_2","age_at_grad",0
"48",39.0666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"49",40.1333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"50",41.2,0.219147907693687,0,"Cluster_2","age_at_grad",0
"51",42.2666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"52",43.3333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"53",44.4,0.219147907693687,0,"Cluster_2","age_at_grad",0
"54",45.4666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"55",46.5333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"56",47.6,0.219147907693687,0,"Cluster_2","age_at_grad",0
"57",48.6666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"58",49.7333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"59",50.8,0.219147907693687,0,"Cluster_2","age_at_grad",0
"60",51.8666666666667,0.219147907693687,0,"Cluster_2","age_at_grad",0
"61",52.9333333333333,0.219147907693687,0,"Cluster_2","age_at_grad",0
"62",54,0.219147907693687,0,"Cluster_2","age_at_grad",0
"63",22,0.185876535996964,0,"Cluster_3","age_at_grad",0
"64",23.0666666666667,0.185876535996964,0,"Cluster_3","age_at_grad",0
"65",24.1333333333333,0.185876535996964,0,"Cluster_3","age_at_grad",0
"66",25.2,0.185876535996964,0,"Cluster_3","age_at_grad",0
"67",26.2666666666667,0.187920384782728,0.00204384878576405,"Cluster_3","age_at_grad",1
"68",27.3333333333333,0.187920384782728,0.00204384878576405,"Cluster_3","age_at_grad",1
"69",28.4,0.187920384782728,0.00204384878576405,"Cluster_3","age_at_grad",1
