"group","state","k","x","value","grouplab"
"201","Cluster 2","Not teacher","20","21",0.0944105213715359,"Cluster 2 (n=2418)"
"202","Cluster 2","Not teacher","21","22",0.0952830188679245,"Cluster 2 (n=2418)"
"203","Cluster 2","Not teacher","22","23",0.0952380952380952,"Cluster 2 (n=2418)"
"204","Cluster 2","Not teacher","23","24",0.0956730769230769,"Cluster 2 (n=2418)"
"205","Cluster 2","Not teacher","24","25",0.0995670995670996,"Cluster 2 (n=2418)"
"206","Cluster 2","Not teacher","25","26",0.104136253041363,"Cluster 2 (n=2418)"
"207","Cluster 2","Not teacher","26","27",0.112426035502959,"Cluster 2 (n=2418)"
"208","Cluster 2","Not teacher","27","28",0.113943028485757,"Cluster 2 (n=2418)"
"209","Cluster 2","Not teacher","28","29",0.119959677419355,"Cluster 2 (n=2418)"
"210","Cluster 2","Not teacher","29","30",0.120246659815005,"Cluster 2 (n=2418)"
"211","Cluster 2","Not teacher","30","31",0.130389064143007,"Cluster 2 (n=2418)"
"212","Cluster 2","Not teacher","31","32",0.132116004296455,"Cluster 2 (n=2418)"
"213","Cluster 2","Not teacher","32","33",0.149558498896247,"Cluster 2 (n=2418)"
"214","Cluster 2","Not teacher","33","34",0.161253561253561,"Cluster 2 (n=2418)"
"215","Cluster 2","Not teacher","34","35",0.189285714285714,"Cluster 2 (n=2418)"
"216","Cluster 2","Not teacher","35","36",0.200752823086575,"Cluster 2 (n=2418)"
"217","Cluster 2","0-25%","0","1",0.208025830258303,"Cluster 2 (n=2418)"
"218","Cluster 2","0-25%","1","2",0.250771264874394,"Cluster 2 (n=2418)"
"219","Cluster 2","0-25%","2","3",0.319029042045947,"Cluster 2 (n=2418)"
"220","Cluster 2","0-25%","3","4",0.355063016079965,"Cluster 2 (n=2418)"
"221","Cluster 2","0-25%","4","5",0.369707551287647,"Cluster 2 (n=2418)"
"222","Cluster 2","0-25%","5","6",0.41223053233612,"Cluster 2 (n=2418)"
"223","Cluster 2","0-25%","6","7",0.423946784922395,"Cluster 2 (n=2418)"
"224","Cluster 2","0-25%","7","8",0.465116279069767,"Cluster 2 (n=2418)"
"225","Cluster 2","0-25%","8","9",0.467176258992806,"Cluster 2 (n=2418)"
"226","Cluster 2","0-25%","9","10",0.472677595628415,"Cluster 2 (n=2418)"
"227","Cluster 2","0-25%","10","11",0.48217550274223,"Cluster 2 (n=2418)"
"228","Cluster 2","0-25%","11","12",0.489400921658986,"Cluster 2 (n=2418)"
"229","Cluster 2","0-25%","12","13",0.503929727230698,"Cluster 2 (n=2418)"
"230","Cluster 2","0-25%","13","14",0.506685108344859,"Cluster 2 (n=2418)"
"231","Cluster 2","0-25%","14","15",0.513200555812876,"Cluster 2 (n=2418)"
"232","Cluster 2","0-25%","15","16",0.515165441176471,"Cluster 2 (n=2418)"
"233","Cluster 2","0-25%","16","17",0.530949105914718,"Cluster 2 (n=2418)"
"234","Cluster 2","0-25%","17","18",0.559870550161812,"Cluster 2 (n=2418)"
"235","Cluster 2","0-25%","18","19",0.566326530612245,"Cluster 2 (n=2418)"
"236","Cluster 2","0-25%","19","20",0.575955265610438,"Cluster 2 (n=2418)"
"237","Cluster 2","0-25%","20","21",0.576796618130578,"Cluster 2 (n=2418)"
"238","Cluster 2","0-25%","21","22",0.569339622641509,"Cluster 2 (n=2418)"
"239","Cluster 2","0-25%","22","23",0.556666666666667,"Cluster 2 (n=2418)"
"240","Cluster 2","0-25%","23","24",0.569711538461538,"Cluster 2 (n=2418)"
"241","Cluster 2","0-25%","24","25",0.554112554112554,"Cluster 2 (n=2418)"
"242","Cluster 2","0-25%","25","26",0.556204379562044,"Cluster 2 (n=2418)"
"243","Cluster 2","0-25%","26","27",0.554733727810651,"Cluster 2 (n=2418)"
"244","Cluster 2","0-25%","27","28",0.547226386806597,"Cluster 2 (n=2418)"
"245","Cluster 2","0-25%","28","29",0.581149193548387,"Cluster 2 (n=2418)"
"246","Cluster 2","0-25%","29","30",0.565775950668037,"Cluster 2 (n=2418)"
"247","Cluster 2","0-25%","30","31",0.556256572029443,"Cluster 2 (n=2418)"
"248","Cluster 2","0-25%","31","32",0.546186895810956,"Cluster 2 (n=2418)"
"249","Cluster 2","0-25%","32","33",0.517108167770419,"Cluster 2 (n=2418)"
"250","Cluster 2","0-25%","33","34",0.516239316239316,"Cluster 2 (n=2418)"
"251","Cluster 2","0-25%","34","35",0.494047619047619,"Cluster 2 (n=2418)"
"252","Cluster 2","0-25%","35","36",0.481806775407779,"Cluster 2 (n=2418)"
"253","Cluster 2",">50%-75%","0","1",0.0710332103321033,"Cluster 2 (n=2418)"
"254","Cluster 2",">50%-75%","1","2",0.0819744380784487,"Cluster 2 (n=2418)"
"255","Cluster 2",">50%-75%","2","3",0.0780234070221066,"Cluster 2 (n=2418)"
"256","Cluster 2",">50%-75%","3","4",0.0847457627118644,"Cluster 2 (n=2418)"
"257","Cluster 2",">50%-75%","4","5",0.0698384984722829,"Cluster 2 (n=2418)"
"258","Cluster 2",">50%-75%","5","6",0.0585129784425869,"Cluster 2 (n=2418)"
"259","Cluster 2",">50%-75%","6","7",0.0643015521064302,"Cluster 2 (n=2418)"
"260","Cluster 2",">50%-75%","7","8",0.065742397137746,"Cluster 2 (n=2418)"
"261","Cluster 2",">50%-75%","8","9",0.0598021582733813,"Cluster 2 (n=2418)"
"262","Cluster 2",">50%-75%","9","10",0.0623861566484517,"Cluster 2 (n=2418)"
"263","Cluster 2",">50%-75%","10","11",0.0644424131627057,"Cluster 2 (n=2418)"
"264","Cluster 2",">50%-75%","11","12",0.0566820276497696,"Cluster 2 (n=2418)"
"265","Cluster 2",">50%-75%","12","13",0.0540915395284327,"Cluster 2 (n=2418)"
"266","Cluster 2",">50%-75%","13","14",0.0599354541263255,"Cluster 2 (n=2418)"
"267","Cluster 2",">50%-75%","14","15",0.0509495136637332,"Cluster 2 (n=2418)"
"268","Cluster 2",">50%-75%","15","16",0.0542279411764706,"Cluster 2 (n=2418)"
"269","Cluster 2",">50%-75%","16","17",0.0481430536451169,"Cluster 2 (n=2418)"
"270","Cluster 2",">50%-75%","17","18",0.0448451225150254,"Cluster 2 (n=2418)"
"271","Cluster 2",">50%-75%","18","19",0.0459183673469388,"Cluster 2 (n=2418)"
"272","Cluster 2",">50%-75%","19","20",0.0503261882572227,"Cluster 2 (n=2418)"
"273","Cluster 2",">50%-75%","20","21",0.0399248473461719,"Cluster 2 (n=2418)"
"274","Cluster 2",">50%-75%","21","22",0.0457547169811321,"Cluster 2 (n=2418)"
"275","Cluster 2",">50%-75%","22","23",0.0476190476190476,"Cluster 2 (n=2418)"
"276","Cluster 2",">50%-75%","23","24",0.0403846153846154,"Cluster 2 (n=2418)"
"277","Cluster 2",">50%-75%","24","25",0.0423280423280423,"Cluster 2 (n=2418)"
"278","Cluster 2",">50%-75%","25","26",0.0442822384428224,"Cluster 2 (n=2418)"
"279","Cluster 2",">50%-75%","26","27",0.0527613412228797,"Cluster 2 (n=2418)"
"280","Cluster 2",">50%-75%","27","28",0.0534732633683158,"Cluster 2 (n=2418)"
"281","Cluster 2",">50%-75%","28","29",0.0448588709677419,"Cluster 2 (n=2418)"
"282","Cluster 2",">50%-75%","29","30",0.0534429599177801,"Cluster 2 (n=2418)"
"283","Cluster 2",">50%-75%","30","31",0.0520504731861199,"Cluster 2 (n=2418)"
"284","Cluster 2",">50%-75%","31","32",0.0547798066595059,"Cluster 2 (n=2418)"
"285","Cluster 2",">50%-75%","32","33",0.0596026490066225,"Cluster 2 (n=2418)"
"286","Cluster 2",">50%-75%","33","34",0.0541310541310541,"Cluster 2 (n=2418)"
"287","Cluster 2",">50%-75%","34","35",0.0619047619047619,"Cluster 2 (n=2418)"
"288","Cluster 2",">50%-75%","35","36",0.0639899623588457,"Cluster 2 (n=2418)"
"289","Cluster 2",">25%-50%","0","1",0.116236162361624,"Cluster 2 (n=2418)"
"290","Cluster 2",">25%-50%","1","2",0.131335390039665,"Cluster 2 (n=2418)"
"291","Cluster 2",">25%-50%","2","3",0.136974425661032,"Cluster 2 (n=2418)"
"292","Cluster 2",">25%-50%","3","4",0.14819643633203,"Cluster 2 (n=2418)"
"293","Cluster 2",">25%-50%","4","5",0.181143605412484,"Cluster 2 (n=2418)"
"294","Cluster 2",">25%-50%","5","6",0.194456665200176,"Cluster 2 (n=2418)"
"295","Cluster 2",">25%-50%","6","7",0.202660753880266,"Cluster 2 (n=2418)"
"296","Cluster 2",">25%-50%","7","8",0.190071556350626,"Cluster 2 (n=2418)"
"297","Cluster 2",">25%-50%","8","9",0.222571942446043,"Cluster 2 (n=2418)"
"298","Cluster 2",">25%-50%","9","10",0.236338797814208,"Cluster 2 (n=2418)"
"299","Cluster 2",">25%-50%","10","11",0.249542961608775,"Cluster 2 (n=2418)"
"300","Cluster 2",">25%-50%","11","12",0.270046082949309,"Cluster 2 (n=2418)"
"301","Cluster 2",">25%-50%","12","13",0.276005547850208,"Cluster 2 (n=2418)"
"302","Cluster 2",">25%-50%","13","14",0.27293683725219,"Cluster 2 (n=2418)"
"303","Cluster 2",">25%-50%","14","15",0.290412227883279,"Cluster 2 (n=2418)"
"304","Cluster 2",">25%-50%","15","16",0.295955882352941,"Cluster 2 (n=2418)"
"305","Cluster 2",">25%-50%","16","17",0.289775332416323,"Cluster 2 (n=2418)"
"306","Cluster 2",">25%-50%","17","18",0.275543226999538,"Cluster 2 (n=2418)"
"307","Cluster 2",">25%-50%","18","19",0.268552875695733,"Cluster 2 (n=2418)"
"308","Cluster 2",">25%-50%","19","20",0.27027027027027,"Cluster 2 (n=2418)"
"309","Cluster 2",">25%-50%","20","21",0.27665570690465,"Cluster 2 (n=2418)"
"310","Cluster 2",">25%-50%","21","22",0.277358490566038,"Cluster 2 (n=2418)"
