"var","var2","yhat","yhat_scale","cluster","var_name_x","var_name_y","yhat_scale_2"
"1","1 Hovedstadskommune",22,0.367176319503099,0,"Cluster_1","muni_type","age_at_grad",0
"2","2 Storbykommune",22,0.370291179970311,0.00311486046721199,"Cluster_1","muni_type","age_at_grad",0.171181762571398
"3","3 Provinsbykommune",22,0.370229521778834,0.00305320227573558,"Cluster_1","muni_type","age_at_grad",0.167793245491741
"4","4 Oplandskommune",22,0.379827648423512,0.0126513289204135,"Cluster_1","muni_type","age_at_grad",0.695272486926299
"5","5 Landkommune",22,0.378093326881941,0.0109170073788424,"Cluster_1","muni_type","age_at_grad",0.599960282261983
"6","1 Hovedstadskommune",23.0666666666667,0.367176319503099,0,"Cluster_1","muni_type","age_at_grad",0
"7","2 Storbykommune",23.0666666666667,0.370291179970311,0.00311486046721199,"Cluster_1","muni_type","age_at_grad",0.171181762571398
"8","3 Provinsbykommune",23.0666666666667,0.370229521778834,0.00305320227573558,"Cluster_1","muni_type","age_at_grad",0.167793245491741
"9","4 Oplandskommune",23.0666666666667,0.379827648423512,0.0126513289204135,"Cluster_1","muni_type","age_at_grad",0.695272486926299
"10","5 Landkommune",23.0666666666667,0.378093326881941,0.0109170073788424,"Cluster_1","muni_type","age_at_grad",0.599960282261983
"11","1 Hovedstadskommune",24.1333333333333,0.367176319503099,0,"Cluster_1","muni_type","age_at_grad",0
"12","2 Storbykommune",24.1333333333333,0.370291179970311,0.00311486046721199,"Cluster_1","muni_type","age_at_grad",0.171181762571398
"13","3 Provinsbykommune",24.1333333333333,0.370229521778834,0.00305320227573558,"Cluster_1","muni_type","age_at_grad",0.167793245491741
"14","4 Oplandskommune",24.1333333333333,0.379827648423512,0.0126513289204135,"Cluster_1","muni_type","age_at_grad",0.695272486926299
"15","5 Landkommune",24.1333333333333,0.378093326881941,0.0109170073788424,"Cluster_1","muni_type","age_at_grad",0.599960282261983
"16","1 Hovedstadskommune",25.2,0.367176319503099,0,"Cluster_1","muni_type","age_at_grad",0
"17","2 Storbykommune",25.2,0.370291179970311,0.00311486046721199,"Cluster_1","muni_type","age_at_grad",0.171181762571398
"18","3 Provinsbykommune",25.2,0.370229521778834,0.00305320227573558,"Cluster_1","muni_type","age_at_grad",0.167793245491741
"19","4 Oplandskommune",25.2,0.379827648423512,0.0126513289204135,"Cluster_1","muni_type","age_at_grad",0.695272486926299
"20","5 Landkommune",25.2,0.378093326881941,0.0109170073788424,"Cluster_1","muni_type","age_at_grad",0.599960282261983
"21","1 Hovedstadskommune",26.2666666666667,0.367200797797865,0.0000244782947667055,"Cluster_1","muni_type","age_at_grad",0.00134524088222078
"22","2 Storbykommune",26.2666666666667,0.375372485769535,0.00819616626643627,"Cluster_1","muni_type","age_at_grad",0.450432435926289
"23","3 Provinsbykommune",26.2666666666667,0.37576091330304,0.00858459379994131,"Cluster_1","muni_type","age_at_grad",0.471779045354405
"24","4 Oplandskommune",26.2666666666667,0.385372536322123,0.0181962168190248,"Cluster_1","muni_type","age_at_grad",1
"25","5 Landkommune",26.2666666666667,0.382405678389745,0.0152293588866465,"Cluster_1","muni_type","age_at_grad",0.836951935565179
"26","1 Hovedstadskommune",27.3333333333333,0.367200797797865,0.0000244782947667055,"Cluster_1","muni_type","age_at_grad",0.00134524088222078
"27","2 Storbykommune",27.3333333333333,0.375372485769535,0.00819616626643627,"Cluster_1","muni_type","age_at_grad",0.450432435926289
"28","3 Provinsbykommune",27.3333333333333,0.37576091330304,0.00858459379994131,"Cluster_1","muni_type","age_at_grad",0.471779045354405
"29","4 Oplandskommune",27.3333333333333,0.385372536322123,0.0181962168190248,"Cluster_1","muni_type","age_at_grad",1
"30","5 Landkommune",27.3333333333333,0.382405678389745,0.0152293588866465,"Cluster_1","muni_type","age_at_grad",0.836951935565179
"31","1 Hovedstadskommune",28.4,0.367200797797865,0.0000244782947667055,"Cluster_1","muni_type","age_at_grad",0.00134524088222078
"32","2 Storbykommune",28.4,0.375372485769535,0.00819616626643627,"Cluster_1","muni_type","age_at_grad",0.450432435926289
"33","3 Provinsbykommune",28.4,0.37576091330304,0.00858459379994131,"Cluster_1","muni_type","age_at_grad",0.471779045354405
"34","4 Oplandskommune",28.4,0.385372536322123,0.0181962168190248,"Cluster_1","muni_type","age_at_grad",1
"35","5 Landkommune",28.4,0.382405678389745,0.0152293588866465,"Cluster_1","muni_type","age_at_grad",0.836951935565179
